Symbol,"Company Name","My Rating","Volatility Rankings","Quantitative Grade","Fundamental Grade","Sales Growth","Operating Margin Growth","Earnings Growth","Earnings Revisions","Earnings Surprises","Earnings Momentum","Cash Flow","Return on Equity","Market Cap ($B)","Current P/E","Dividend Yield (%)","52-Week High ($)","52-Week Low ($)","Last Year EPS ($)","Last Qtr. Surprise (%)","Next Qtr. Sales (M)","Next Qtr. Sales Growth (%)","Next Qtr. EPS ($)","Next Qtr. Earnings Growth (%)","Est. Long-Term Growth (%)","Company Profile",Industry,"No. of Companies in Industry","Market Cap Rank","Estimated Sales Rank","Earnings Rank","Long-Term Growth Rank"
SNPS,"Synopsys, Inc.",B,Conservative,A,C,C,C,C,B,C,F,C,B,56.77,59.20,0.00,390.00,261.00,2.50,4.60,1.00,8.30,2.47,-1.30,17.20,"Develops and provides software based designing solutions for the semiconductor industry","Packaged Software",336,11,162,67,126
SNV,"Synovus Financial Corp.",D,Conservative,F,C,A,C,B,C,D,D,A,B,3.97,5.52,3.62,51.72,27.32,1.08,-0.23,598.95,19.85,1.28,18.91,3.39,"Operates as a bank holding company through its subsidiary provides commercial and retail banking, financial management, insurance and mortgage services","Regional Banks",243,24,75,82,119
SO,"Southern Company",B,Conservative,B,C,B,C,C,D,C,D,F,B,74.62,20.80,4.00,80.00,62.00,0.97,5.80,6.00,-5.30,0.81,-16.91,6.20,"Generates and supplies electricity","Electric Utilities",70,2,42,40,29
SPB,"Spectrum Brands Holdings, Inc.",D,Conservative,D,D,D,C,F,F,D,C,D,C,2.40,51.40,3.00,93.00,39.00,0.41,-8.60,761.90,-5.70,-0.19,-146.47,42.00,"Manufactures personal care products, small household appliances, specialty pet supplies, lawn, garden and home pest control products",Electronics/Appliances,17,4,4,4,6
SRCL,"Stericycle, Inc.",D,Conservative,D,C,D,C,C,F,D,A,C,C,3.85,69.10,0.00,59.00,41.00,0.32,-0.30,672.50,1.20,0.44,38.28,9.10,"Provides regulated medical waste management and compliance services","Environmental Services",17,6,9,2,6
SRE,"Sempra Energy",B,Conservative,B,C,C,C,C,C,B,D,D,B,45.69,22.00,3.00,176.00,139.00,2.91,14.80,3.00,1.70,2.76,-5.08,3.40,"Develops, owns and operates electric & natural gas facilities","Electric Utilities",70,6,27,29,47
SSNC,"SS&C Technologies Holdings, Inc.",D,Conservative,D,C,D,C,C,C,C,D,C,B,13.52,21.70,2.00,79.00,46.00,1.25,0.30,1.00,4.20,1.14,-8.98,8.70,"Provides software-enabled services to the alternative investment managers and financial industry","Information Technology Services",109,15,57,40,51
STAG,"STAG Industrial, Inc.",D,Conservative,D,C,B,D,D,C,C,C,D,C,5.72,32.05,4.52,42.23,26.85,0.30,0.86,170.25,7.35,0.16,-45.10,-6.69,"Functions as real estate investment trust which operates warehouse/distribution buildings, light manufacturing buildings and flex/office buildings","Real Estate Investment Trusts",209,47,94,99,105
STLD,"Steel Dynamics, Inc.",B,Conservative,A,C,D,C,C,A,B,F,C,A,17.97,5.00,1.39,136.06,64.41,6.02,16.08,4821.75,-13.43,3.41,-43.29,-27.91,"Engages in steel operations & fabrications and metals recycling services",Steel,26,6,12,8,18
STM,"STMicroelectronics NV ADR RegS",A,Moderate,A,B,B,A,A,A,B,D,B,A,43.41,11.46,0.57,50.42,29.56,0.79,17.02,4096.86,15.53,0.94,19.35,4.30,"Designs, develops, manufactures and markets a broad range of semiconductor integrated circuits and discrete devices",Semiconductors,101,14,21,13,46
STX,"Seagate Technology Holdings PLC",D,Conservative,D,D,F,F,F,D,A,F,B,F,12.61,21.70,5.00,94.00,48.00,1.81,74.00,1.00,-28.90,0.27,-84.94,60.30,"Manufactures data storage products","Computer Peripherals",20,3,17,8,4
SU,"Suncor Energy Inc.",B,Conservative,B,C,B,A,A,D,C,F,C,A,38.48,5.70,5.00,42.00,27.00,1.48,0.70,8.00,39.30,1.10,-25.41,-6.40,"Explores and refines oil and gas","Integrated Oil",48,8,9,26,29
SUI,"Sun Communities, Inc.",D,Conservative,D,D,B,D,D,F,F,C,D,C,16.64,67.91,2.46,191.53,118.38,0.01,-61.31,630.84,15.01,-0.09,-1036.86,6.18,"Provides real estate management services","Real Estate Investment Trusts",209,19,53,136,54
SWK,"Stanley Black & Decker, Inc.",D,Conservative,F,D,D,F,F,F,A,D,D,B,11.89,11.19,4.23,151.20,71.66,2.10,70.84,4018.83,-9.65,-0.73,-134.99,129.35,"Provides power, hand tools and mechanical access solutions","Tools & Hardware",5,2,2,2,1
SYK,"Stryker Corporation",B,Conservative,B,C,C,C,C,B,C,F,C,B,103.93,44.50,1.00,283.00,189.00,1.97,5.80,4.00,6.60,2.00,1.55,9.50,"Manufactures and markets reconstructive, medical and surgical, and neurotechnology and spine products","Medical Specialties",246,5,98,28,60
SYNA,"Synaptics Incorporated",D,Moderate,F,D,F,D,D,D,D,F,C,B,4.19,18.35,0.00,234.31,82.54,3.75,-5.94,325.47,-30.77,1.86,-50.49,-4.13,"Develops and supplies custom-designed human interface semiconductor product solutions",Semiconductors,101,38,68,40,61
SYNH,"Syneos Health, Inc. Class A",D,Conservative,D,C,D,C,C,D,C,D,B,B,3.44,13.00,0.00,85.00,26.00,1.01,2.70,1.00,-4.00,0.68,-33.13,1.20,"Provides outsourced clinical development and commercialization services to biopharmaceutical companies","Miscellaneous Commercial Services",167,30,89,54,84
TAC,"TransAlta Corporation",D,Conservative,D,C,B,C,C,D,F,D,F,B,2.14,703.00,2.00,12.00,8.00,0.54,-231.60,469.00,-17.80,0.10,-82.11,2.00,"Engages in generation and distribution of gas and electricity","Electric Utilities",70,55,51,51,1
TASK,"TaskUs, Inc. Class A",D,Moderate,D,C,C,C,C,D,C,D,B,B,1.38,35.20,0.00,41.00,14.00,0.34,1.40,232.40,-3.10,0.27,-19.94,11.40,"Provides customer care and back office solutions","Miscellaneous Commercial Services",167,53,85,44,54
TCN,"Tricon Residential Inc",F,Conservative,F,C,A,D,D,A,F,D,C,A,2.05,2.55,3.00,17.01,7.30,0.59,-61.40,110.73,17.10,0.10,-83.05,-14.88,"Owns & rents residential housing properties and provides investment management services","Real Estate Development",46,11,3,12,13
TD,"Toronto-Dominion Bank",D,Conservative,F,C,A,D,D,C,C,F,C,B,103.74,7.70,4.00,82.00,57.00,1.58,0.40,9.00,4.70,1.54,-2.66,11.50,"Provides commercial banking services","Major Banks",89,6,58,58,18
TDG,"TransDigm Group Incorporated",B,Conservative,A,C,B,A,A,B,C,F,C,D,37.64,46.70,0.00,770.00,510.00,3.86,7.00,1.00,14.40,5.40,39.83,22.00,"Designs, produces and supplies engineered aircraft component products","Aerospace & Defense",62,7,16,6,14
TDY,"Teledyne Technologies Incorporated",B,Conservative,B,C,D,A,A,B,B,F,C,B,19.15,24.70,0.00,489.00,331.00,4.27,8.90,1.00,3.90,4.43,3.82,6.90,"Manufactures and supplies digital imaging, engineered systems, aerospace and defense electronics and instruments","Aerospace & Defense",62,10,32,16,35
TECH,"Bio-Techne Corporation",D,Conservative,D,C,D,D,C,D,D,C,C,B,11.36,44.90,0.00,112.00,70.00,0.54,-3.70,296.50,2.10,0.53,-1.46,11.50,"Manufactures and sells biological products",Biotechnology,335,8,80,1,10
TFC,"Truist Financial Corporation",D,Conservative,F,C,B,C,B,D,D,D,B,B,40.55,6.90,4.65,60.56,30.56,0.99,-3.59,6125.13,13.43,1.16,17.58,8.98,"Operates as a bank holding company","Regional Banks",243,4,106,86,56
TFII,"TFI International Inc.",B,Conservative,B,C,D,B,C,B,D,F,C,A,10.05,12.61,1.17,127.85,72.99,1.68,-0.80,1945.46,-11.23,1.52,-9.29,7.96,"Provides freight transportation and logistics services",Trucking,22,4,16,6,6
TFIN,"Triumph Financial, Inc.",D,Conservative,D,C,D,C,C,D,C,D,B,B,1.34,14.08,0.00,99.74,45.99,0.93,0.48,108.43,-2.49,0.56,-39.48,-5.43,"Operates as a bank holding company through its subsidiaries offers traditional banking and commercial finance products","Savings Banks",56,9,24,26,23
TFX,"Teleflex Incorporated",D,Conservative,D,C,D,D,C,C,C,F,C,B,11.31,30.70,1.00,355.00,187.00,2.88,2.30,687.70,7.20,2.97,3.22,7.80,"Provides medical devices for critical care, urology and surgery","Medical Specialties",246,29,94,24,66
THC,"Tenet Healthcare Corporation",D,Conservative,D,C,D,D,D,D,A,F,D,A,5.63,14.70,0.00,91.00,38.00,1.93,59.60,4.00,2.20,1.15,-40.48,6.50,"Provides health care services","Hospital/Nursing Management",15,4,9,7,9
THG,"Hanover Insurance Group, Inc.",D,Conservative,D,D,C,F,F,D,D,F,B,C,4.33,37.89,2.00,154.28,121.60,3.26,0.00,1.00,6.16,2.77,-14.98,51.41,"Operates as a holding company for several property and casualty insurance companies","Property/Casualty Insurance",36,13,15,18,11
TJX,"TJX Companies Inc",B,Conservative,A,B,C,B,B,C,D,C,C,A,86.12,25.00,1.00,83.00,55.00,0.68,-0.70,11.00,3.50,0.71,4.56,12.00,"Operates retail apparels and home fashions stores","Apparel/Footwear Retail",33,1,3,5,8
TM,"Toyota Motor Corp. Sponsored ADR",D,Conservative,D,C,D,C,C,C,C,F,D,B,181.75,7.30,3.00,185.00,130.00,2.98,6.40,69.00,12.20,2.92,-2.01,1.70,"Designs, manufactures and sells automobiles & provides financing services","Motor Vehicles",44,2,21,6,10
TMUS,"T-Mobile US, Inc.",B,Conservative,A,B,D,A,A,A,B,A,D,C,175.78,68.82,0.00,152.41,121.73,0.57,7.38,20088.52,-0.16,1.54,169.79,104.15,"Provides wireless voice, messaging and data services","Wireless Telecommunications",19,1,13,1,1
TNL,"Travel + Leisure Co.",D,Conservative,D,C,D,C,C,B,C,D,C,D,3.04,8.80,4.00,59.00,34.00,0.69,6.80,839.60,3.80,0.77,11.89,14.70,"Provides vacation property ownership, exchange, and rental services",Hotels/Resorts/Cruiselines,21,12,13,6,11
TPL,"Texas Pacific Land Corporation",B,Conservative,A,C,C,A,B,D,D,F,C,A,12.57,28.30,1.00,2.00,1.00,12.64,-12.10,164.50,11.70,14.11,11.61,18.40,"Invests in oil and gas royalties and water infrastructure operations","Investment Trusts/Mutual Funds",27,1,6,5,2
TREX,"Trex Company, Inc.",D,Moderate,D,C,F,C,D,C,C,D,D,A,5.08,28.70,0.00,80.00,40.00,0.62,6.90,237.10,-30.10,0.33,-46.07,13.60,"Manufactures decking and railing products","Forest Products",6,3,4,2,3
TRGP,"Targa Resources Corp.",B,Conservative,B,C,F,C,C,B,C,D,D,A,15.25,17.30,2.00,81.00,56.00,0.06,3.20,5.00,11.50,1.37,2.00,22.50,"Provides midstream natural gas and natural gas liquid services","Gas Distributors",20,3,3,1,6
TRI,"Thomson Reuters Corporation",A,Conservative,A,B,D,C,C,B,B,A,C,B,59.19,45.10,2.00,125.00,93.00,0.66,11.80,1.00,3.50,0.80,20.61,17.80,"Provides online information and publishing services","Internet Software/Services",119,5,35,6,29
TRMB,"Trimble Inc.",D,Conservative,D,C,D,C,C,D,D,C,B,B,12.04,27.10,0.00,75.00,48.00,0.73,-1.80,930.80,-6.30,0.67,-8.34,10.20,"Develops, manufactures and markets advanced positioning product solutions","Packaged Software",336,37,235,79,152
TRMK,"Trustmark Corporation",D,Conservative,D,C,A,F,F,F,D,C,B,C,1.56,21.97,2.64,38.06,25.57,0.48,-14.47,191.86,21.59,0.71,48.15,-1.79,"Operates as a bank holding company","Regional Banks",243,58,68,28,163
TROX,"Tronox Holdings Plc",D,Conservative,D,D,F,F,F,F,F,F,A,A,2.00,4.10,4.00,21.00,11.00,0.60,-249.20,687.10,-28.80,0.09,-84.20,23.30,"Engages in mining and manufacturing of industrial chemicals","Chemicals: Specialty",59,21,40,31,14
TRP,"TC Energy Corporation",D,Conservative,D,D,D,F,F,B,C,F,F,C,37.85,75.10,7.00,59.00,37.00,0.88,1.00,2.00,4.50,0.84,-4.03,1.00,"Provides natural gas and crude oil pipeline transportation services","Oil & Gas Pipelines",26,3,15,16,21
TRU,TransUnion,D,Conservative,D,C,C,C,B,D,D,B,D,C,11.31,43.40,1.00,104.00,51.00,0.93,-5.00,913.90,-0.80,0.74,-20.10,12.10,"Provides consumer reports, actionable insights and credit analytics services","Financial Publishing/Services",3,3,2,2,3
TSCO,"Tractor Supply Company",B,Conservative,B,C,B,B,B,B,C,F,D,A,25.63,23.93,1.64,239.61,170.53,1.65,3.39,3315.27,9.63,1.72,4.48,8.97,"Engages in the retail sale of farm and ranch products","Specialty Stores",80,7,15,11,19
TSN,"Tyson Foods, Inc. Class A",F,Conservative,F,D,D,D,D,F,F,F,D,B,20.41,8.50,3.00,98.00,57.00,2.29,-35.30,13.00,3.50,0.75,-67.33,-3.20,"Produces, distributes and markets chicken, beef, pork, prepared foods and related allied products","Food: Meat/Fish/Dairy",8,2,5,2,4
TT,"Trane Technologies plc",B,Conservative,A,B,C,B,A,A,B,F,C,A,40.62,23.70,2.00,194.00,121.00,1.12,10.70,3.00,8.30,1.33,18.98,11.40,"Provides climate control and HVAC systems","Industrial Machinery",85,5,27,6,24
TTC,"Toro Company",B,Conservative,A,B,B,A,A,C,C,D,C,A,11.06,25.25,1.09,116.19,73.83,1.25,4.20,1455.87,16.52,1.55,23.98,14.69,"Manufactures commercial lawn equipment","Trucks/Construction/Farm Machinery",36,7,10,9,11
TTD,"Trade Desk, Inc. Class A",B,Moderate,B,B,B,A,A,B,C,A,C,C,28.70,559.40,0.00,75.00,40.00,0.21,7.10,363.80,15.40,0.12,-40.64,22.40,"Operates as a technology company which empowers buyers of advertising","Packaged Software",336,21,115,110,108
TTEC,"TTEC Holdings, Inc.",F,Conservative,F,C,C,C,C,F,B,C,B,A,1.67,16.20,2.00,87.00,35.00,1.08,20.30,598.50,1.70,0.46,-57.41,0.00,"Provides customer experience technology and business process outsourcing solutions","Information Technology Services",109,50,63,50,65
TU,"TELUS Corporation",D,Conservative,D,D,C,D,D,F,D,B,D,B,28.02,22.03,5.40,27.40,19.12,0.23,-21.79,3645.27,10.30,0.21,-10.94,17.30,"Provides mobile and fixed voice and data telecommunications services","Wireless Telecommunications",19,4,4,7,8
TXN,"Texas Instruments Incorporated",B,Conservative,B,C,D,B,C,D,B,F,C,A,159.19,18.68,2.84,191.01,148.34,2.35,7.80,4373.26,-10.84,1.77,-24.50,-2.07,"Designs, manufactures and sells integrated circuit semiconductors and calculators",Semiconductors,101,5,52,29,57
UBS,"UBS Group AG",B,Conservative,B,B,C,B,B,A,A,C,A,B,56.56,7.80,3.00,22.00,14.00,0.61,38.20,8.00,-5.80,0.56,-7.80,11.20,"Operates as a holding company, which engages in the provision of wealth management, investment banking, retail and commercial banking services","Financial Conglomerates",416,3,12,7,7
UDR,"UDR, Inc.",D,Conservative,F,C,B,D,D,C,B,A,D,C,12.80,153.10,3.92,59.57,37.56,0.04,15.76,406.27,13.72,0.11,177.16,47.09,"Operates as a real estate investment trusts which owns, acquires, renovates, develops, redevelops and manages multifamily apartment communities","Real Estate Investment Trusts",209,24,59,4,9
UE,"Urban Edge Properties",D,Conservative,D,C,F,D,D,C,A,A,D,C,1.58,34.21,4.54,19.60,13.05,0.08,28.57,101.02,0.82,0.10,20.83,3.92,"Operates as a real estate investment trust which manages, develops, redevelops and acquires retail real estate properties","Real Estate Investment Trusts",209,99,139,20,59
UI,"Ubiquiti Inc.",B,Conservative,B,C,B,B,B,A,B,D,C,F,15.82,45.56,0.88,350.16,221.79,0.83,23.35,478.78,33.71,1.90,129.10,33.08,"Develops and sells networking technology for service providers and enterprises","Telecommunications Equipment",50,6,5,3,9
UNFI,"United Natural Foods, Inc.",D,Conservative,D,D,C,D,D,F,F,D,F,B,1.39,6.00,0.00,48.00,23.00,1.10,-46.30,7.00,3.60,0.67,-38.72,-1.80,"Distributes and retails natural & organic conventional grocery and non-food products","Food Distributors",9,4,5,6,7
UNP,"Union Pacific Corporation",D,Conservative,D,C,C,C,C,C,D,F,D,A,116.36,16.94,2.00,276.69,186.50,2.57,-4.59,6.00,4.30,2.63,2.19,8.59,"Provides railroad and freight transportation services",Railroads,6,1,5,5,2
URI,"United Rentals, Inc.",B,Conservative,B,C,B,B,A,A,D,F,D,A,25.67,12.40,0.00,480.00,236.00,5.73,-3.90,3.00,24.70,7.89,37.77,15.10,"Operates as a holding company whose subsidiaries engages in the rental of construction, aerial, industrial and light equipment & general tools",Finance/Rental/Leasing,86,2,9,5,26
USB,"U.S. Bancorp",D,Conservative,F,C,A,D,D,C,F,D,C,B,50.45,8.90,4.00,57.00,33.00,0.99,-49.10,7.00,28.50,1.13,14.00,18.20,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,13,21,40,8
USM,"United States Cellular Corp",D,Conservative,D,D,D,F,F,F,D,B,F,C,1.73,60.99,0.00,32.42,19.43,0.57,-10.67,1015.13,0.51,0.25,-56.38,61.84,"Provides wireless telecommunications services","Wireless Telecommunications",19,15,12,12,2
UTHR,"United Therapeutics Corporation",B,Conservative,A,C,B,B,B,D,F,F,B,B,10.11,14.60,0.00,280.00,175.00,5.03,-43.50,514.70,11.40,4.60,-8.56,16.10,"Develops and commercializes pharmaceutical products to patients with chronic and life-threatening conditions","Pharmaceuticals: Major",442,26,86,28,41
V,"Visa Inc. Class A",B,Conservative,B,B,C,B,B,B,B,F,C,A,447.34,31.00,1.00,231.00,178.00,1.79,8.50,7.00,8.20,1.98,10.75,14.40,"Operates as a global payments technology","Miscellaneous Commercial Services",167,1,43,14,41
VFC,"V.F. Corporation",D,Conservative,F,C,D,B,C,C,B,C,B,B,8.33,20.10,7.00,60.00,21.00,0.45,13.90,2.00,-3.40,0.14,-67.99,-4.20,"Designs, manufactures, and sells outdoor and casual apparel, footwear, bags, and accessories",Apparel/Footwear,38,3,19,16,27
VIAV,"Viavi Solutions Inc",D,Conservative,F,C,D,D,D,B,A,C,B,B,2.31,31.00,0.00,17.00,10.00,0.22,27.30,266.50,-15.50,0.11,-50.19,5.10,"Provides network test, monitoring and assurance solutions","Information Technology Services",109,48,82,49,60
VICI,"VICI Properties Inc",A,Conservative,A,B,A,B,A,B,B,A,C,C,30.02,24.86,4.63,35.53,26.68,0.35,8.67,808.11,93.97,0.59,69.96,33.53,"Operates as a real estate investment trust which owns and acquires hotel, gaming and entertainment destinations","Real Estate Investment Trusts",209,8,4,8,15
VICR,"Vicor Corporation",D,Moderate,D,C,B,C,C,F,D,A,D,C,1.83,73.30,0.00,82.00,41.00,0.11,-22.90,104.10,18.00,0.23,109.09,74.50,"Designs, develops, manufactures and markets modular power components & power systems for converting electrical power","Electronic Components",24,5,3,1,1
VIRT,"Virtu Financial, Inc. Class A",F,Conservative,F,D,F,D,D,F,F,D,A,B,1.80,7.60,5.00,38.00,17.00,1.27,-31.20,322.80,-36.10,0.57,-54.90,-2.60,"Provides brokerage services","Investment Banks/Brokers",43,31,34,31,33
VIV,"Telefonica Brasil SA Sponsored ADR",D,Conservative,D,C,B,D,D,C,D,A,F,C,12.28,15.50,5.26,11.69,6.49,0.10,-9.15,2404.19,8.49,0.10,-0.42,18.72,"Provides wireless telecommunications services","Specialty Telecommunications",10,2,3,4,4
VLO,"Valero Energy Corporation",A,Conservative,A,B,B,A,A,A,B,F,B,A,47.03,4.30,3.00,150.00,90.00,2.31,15.50,35.00,-9.10,6.31,173.26,-24.20,"Engages in manufacturing and marketing of transportation fuels, other petrochemical products and power","Oil Refining/Marketing",11,2,6,4,4
VMW,"VMware, Inc. Class A",B,Conservative,B,B,C,C,C,B,B,D,A,A,50.47,38.40,0.00,132.00,94.00,1.28,10.80,3.00,7.20,1.54,20.40,8.30,"Provides virtual infrastructure software and systems services","Packaged Software",336,14,170,37,162
VRTX,"Vertex Pharmaceuticals Incorporated",B,Conservative,A,C,C,B,B,D,C,F,B,A,76.02,23.10,0.00,323.00,235.00,3.52,6.50,2.00,10.90,3.13,-11.16,5.20,"Operates as a pharmaceutical company that develops drugs for the treatment of cystic fibrosis","Pharmaceuticals: Major",442,13,87,29,55
VSTO,"Vista Outdoor Inc",D,Conservative,D,C,D,D,D,C,B,F,B,A,1.46,3.78,0.00,40.54,23.22,2.04,13.04,731.09,-9.59,0.91,-55.20,-12.26,"Designs, manufactures and markets consumer products in the outdoor sports and recreation markets","Recreational Products",25,10,7,8,16
VZ,"Verizon Communications Inc.",D,Conservative,D,C,D,A,A,D,C,D,D,A,154.51,7.30,7.00,55.00,35.00,1.35,0.20,33.00,1.00,1.19,-11.92,-2.00,"Provides wired and wireless telecommunication services","Major Telecommunications",20,1,8,6,14
WAL,"Western Alliance Bancorp",D,Conservative,F,C,A,C,B,D,C,F,A,A,3.41,3.23,2.38,88.03,26.12,2.22,0.61,710.85,26.67,2.38,7.43,7.37,"Operates as a bank holding company whose subsidiary provides banking services","Regional Banks",243,26,45,112,77
WCN,"Waste Connections, Inc.",B,Conservative,B,C,B,B,B,C,C,D,D,B,34.55,41.38,0.71,148.00,114.80,0.82,0.56,1894.97,15.11,0.89,7.98,11.20,"Provides waste collection, landfill, recycling, disposal and treatment services",Trucking,22,2,2,1,4
WD,"Walker & Dunlop, Inc.",D,Conservative,F,D,C,D,D,F,F,F,C,B,2.46,11.90,3.00,137.00,75.00,2.12,-27.90,277.80,-13.00,1.02,-51.89,5.40,"Operates as a commercial real estate services and finance company with a focus on multifamily lending, property sale, debt mediation and affordable housing investment management",Finance/Rental/Leasing,86,25,46,36,44
WEC,"WEC Energy Group Inc",B,Conservative,B,C,B,B,B,C,B,D,D,B,29.73,21.20,3.00,108.00,82.00,1.79,7.40,2.00,-1.20,1.74,-3.06,5.70,"Provides electric and natural gas distribution services","Electric Utilities",70,12,35,27,34
WF,"Woori Financial Group, Inc. Sponsored ADR",D,Conservative,D,C,A,C,B,A,D,F,B,B,6.06,2.60,7.00,40.00,22.00,2.83,-2.60,2.00,15.90,2.87,1.47,3.40,"Operates as a holding company providing banking and other financial services","Major Banks",89,32,38,51,52
WFC,"Wells Fargo & Company",D,Conservative,D,C,A,D,D,D,B,D,C,C,144.76,12.00,3.00,53.00,37.00,0.88,14.10,20.00,14.60,1.14,29.91,26.60,"Operates as a bank holding company whose subsidiary provides banking services","Major Banks",89,3,41,25,4
WFG,"West Fraser Timber Co. Ltd.",D,Conservative,D,D,F,F,F,F,F,F,D,A,6.13,3.50,2.00,102.00,70.00,10.25,-373.90,1.00,-50.80,-0.11,-101.05,41.10,"Produces dimension lumber and related wood products","Forest Products",6,1,5,6,1
WLY,"John Wiley & Sons, Inc. Class A",D,Conservative,D,D,D,F,F,D,D,D,F,C,2.03,20.91,3.00,55.24,35.40,1.08,-6.59,576.50,5.64,0.99,-8.33,-1.30,"Publishes scientific, technical, medical and scholarly journals","Publishing: Books/Magazines",7,3,3,2,3
WLYB,"John Wiley & Sons, Inc. Class B",D,Conservative,D,D,D,F,F,D,D,D,F,C,2.04,20.98,3.00,57.07,34.50,1.08,-6.59,576.50,5.64,0.99,-8.33,-1.30,"Publishes scientific, technical, medical and scholarly journals","Publishing: Books/Magazines",7,2,2,1,2
WMB,"Williams Companies, Inc.",B,Conservative,B,C,F,A,B,C,C,C,D,B,34.47,16.90,5.00,38.00,28.00,0.41,6.30,2.00,9.50,0.48,15.87,3.30,"Explores, produces, transports, sells and processes natural gas","Integrated Oil",48,10,17,11,13
WMT,"Walmart Inc.",B,Conservative,B,C,C,A,A,D,B,D,D,B,375.40,28.59,1.56,159.87,118.29,1.30,12.23,148246.40,4.72,1.30,0.18,6.08,"Operates retail discount department stores","Specialty Stores",80,1,26,13,29
WOOF,"Petco Health & Wellness Company, Inc. Class A",D,Conservative,D,C,C,D,D,C,C,A,D,C,2.61,15.80,0.00,22.00,9.00,0.28,0.40,1.00,4.30,0.24,-13.36,-5.60,"Operates as an online store that offers pet products","Internet Retail",48,14,14,10,26
WRK,"WestRock Company",F,Conservative,F,D,D,D,D,F,D,D,D,C,6.89,8.60,3.00,54.00,27.00,1.17,-11.70,5.00,-2.50,0.51,-56.76,-6.50,"Manufactures paperboard packaging and other paper products",Containers/Packaging,24,10,13,19,18
WSO,"Watsco, Inc.",B,Conservative,B,B,C,A,A,B,B,F,C,A,11.46,19.50,4.00,324.00,227.00,2.90,10.60,1.00,-0.90,2.25,-22.30,2.20,"Distributes central air conditioning, heating and refrigeration equipment","Building Products",23,3,9,12,17
WU,"Western Union Company",D,Conservative,F,C,F,A,A,C,D,D,B,A,4.02,4.60,7.00,20.00,10.00,0.51,-7.80,1.00,-13.10,0.34,-32.85,-0.80,"Provides money transfer services",Finance/Rental/Leasing,86,17,47,32,55
WWD,"Woodward, Inc.",D,Conservative,D,C,C,C,B,D,D,C,C,B,5.31,32.60,1.00,128.00,80.00,0.72,-22.50,651.50,11.00,0.73,0.93,20.90,"Designs, manufactures and provides energy control and optimization solutions","Industrial Machinery",85,25,19,21,16
WY,"Weyerhaeuser Company",D,Conservative,D,D,F,F,D,F,A,D,D,B,21.40,11.59,2.32,42.22,27.75,1.31,34.14,1859.83,-40.24,0.15,-88.31,-10.68,"Operates as real estate investment trust","Real Estate Investment Trusts",209,13,181,115,122
XEL,"Xcel Energy Inc.",B,Conservative,B,C,B,B,B,C,C,D,D,B,36.76,21.10,3.00,77.00,58.00,0.70,1.80,3.00,0.40,0.73,4.77,6.50,"Provides electric and natural gas utility services","Electric Utilities",70,9,31,14,23
XOM,"Exxon Mobil Corporation",B,Conservative,A,C,C,A,A,D,C,F,C,A,407.55,7.50,3.00,119.00,79.00,2.07,3.40,88.00,-2.40,2.69,30.14,-11.10,"Explores, develops and distributes crude oil, natural gas and petroleum products","Integrated Oil",48,1,24,10,36
XP,"XP Inc. Class A",D,Conservative,F,C,B,B,B,D,D,C,B,A,6.61,9.60,0.00,34.00,11.00,0.30,-20.30,600.20,-3.60,0.27,-12.09,14.00,"Operates as a technology-driven financial services platform","Internet Software/Services",119,17,53,15,35
XYL,"Xylem Inc.",B,Conservative,A,B,B,B,B,B,B,C,C,B,17.08,48.30,1.00,117.00,73.00,0.47,16.00,1.00,5.90,0.62,31.10,12.80,"Designs, manufactures and services engineered solutions throughout the water cycle","Industrial Machinery",85,11,34,5,20
YUM,"Yum! Brands, Inc.",B,Conservative,B,C,C,B,B,B,C,D,B,D,35.52,27.77,1.78,132.52,105.25,1.05,3.98,1622.46,4.88,1.12,6.98,14.36,"Owns and franchises quick-service restaurants",Restaurants,51,4,32,19,16
YUMC,"Yum China Holdings, Inc.",B,Conservative,A,C,D,D,D,B,D,C,D,C,25.44,57.84,0.88,62.24,37.47,0.24,-22.49,2774.71,4.00,0.46,92.17,40.54,"Owns and operates restaurants",Restaurants,51,5,33,1,6
YY,"JOYY, Inc. Sponsored ADR Class A",D,Conservative,D,D,D,F,F,D,A,F,F,C,1.54,19.90,6.00,44.00,23.00,0.28,101.60,565.40,-9.40,0.32,15.48,5.50,"Operates communication social platform","Data Processing Services",54,19,31,6,23
ZBH,"Zimmer Biomet Holdings, Inc.",B,Conservative,B,C,F,C,C,B,C,A,D,C,25.98,113.10,1.00,134.00,102.00,1.61,2.90,1.00,2.60,1.64,2.02,5.70,"Manufactures and distributes orthopedic reconstructive implants","Medical Specialties",246,15,118,27,70
ZBRA,"Zebra Technologies Corporation Class A",D,Conservative,D,C,D,B,C,C,C,F,B,B,14.85,32.80,0.00,438.00,227.00,4.01,3.70,1.00,-2.60,3.91,-2.53,3.60,"Manufactures and sells mobile computers, barcode scanners, imagers, RFID readers and printers","Computer Processing Hardware",10,5,5,2,4
ZIM,"ZIM Integrated Shipping Services Ltd.",D,Moderate,D,C,F,D,D,F,A,F,B,A,2.88,0.60,160.00,88.00,16.00,14.19,56.00,1.00,-58.10,-0.21,-101.49,-102.00,"Provides shipping and logistics services","Marine Shipping",49,5,37,23,40
